City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,14.34,81,0,3.3,ZA,1693168460
1,vadso,70.0744,29.7487,8.49,93,20,2.57,NO,1693168460
2,adamstown,-25.066,-130.1015,19.91,80,76,7.49,PN,1693168460
3,blackmans bay,-43.0167,147.3167,2.51,93,0,2.8,AU,1693168460
4,port-aux-francais,-49.35,70.2167,6.4,96,100,17.71,TF,1693168460
5,bredasdorp,-34.5322,20.0403,9.05,86,0,2.05,ZA,1693168461
6,ciudad sandino,12.1589,-86.3442,30.7,70,40,3.09,NI,1693168461
7,waitangi,-43.9535,-176.5597,7.68,96,100,0.45,NZ,1693168461
8,klaksvik,62.2266,-6.589,11.51,88,100,2.6,FO,1693168461
9,ancud,-41.8697,-73.8203,9.96,83,100,8.74,CL,1693168461
10,okhotsk,59.3833,143.3,15.55,64,30,3.18,RU,1693168461
11,college,64.8569,-147.8028,18.99,68,75,1.54,US,1693168462
12,colonia,50.9333,6.95,16.03,81,0,1.54,DE,1693168308
13,albany,42.6001,-73.9662,25.69,61,75,1.49,US,1693168302
14,lyubymivka,46.8106,33.5686,23.68,56,5,3.35,UA,1693168462
15,nizhneangarsk,55.7833,109.55,12.54,73,92,0.87,RU,1693168462
16,ilulissat,69.2167,-51.1,10.01,53,75,6.17,GL,1693168189
17,enewetak,11.3474,162.3373,28.25,79,100,11.8,MH,1693168463
18,hermanus,-34.4187,19.2345,12.33,75,0,3.66,ZA,1693168463
19,puerto natales,-51.7236,-72.4875,3.47,98,100,0.74,CL,1693168463
20,carnarvon,-24.8667,113.6333,17.91,73,0,3.66,AU,1693168463
21,verkhniy baskunchak,48.2256,46.7217,20.54,42,27,4.95,RU,1693168463
22,colonel hill,22.7667,-74.2167,28.82,69,100,1.94,BS,1693168464
23,margaret river,-33.95,115.0667,14.78,87,84,5.59,AU,1693168422
24,ataq,14.5377,46.8319,28.34,40,85,4.76,YE,1693168464
25,isangel,-19.55,169.2667,21.34,81,100,6.41,VU,1693168464
26,kem',64.9555,34.5793,8.84,87,100,0.6,RU,1693168464
27,whitehorse,60.7161,-135.0538,23.43,40,40,4.12,CA,1693168465
28,edinburgh of the seven seas,-37.0676,-12.3116,14.22,88,100,12.78,SH,1693168465
29,invercargill,-46.4,168.35,2.23,92,81,3.58,NZ,1693168465
30,saint-louis,16.3333,-15.0,30.81,58,71,8.55,SN,1693168465
31,new norfolk,-42.7826,147.0587,3.17,97,4,1.36,AU,1693168465
32,taiyuan,37.8694,112.5603,11.92,87,0,1.0,CN,1693168465
33,bilibino,68.0546,166.4372,6.69,92,100,1.72,RU,1693168466
34,along,28.1667,94.7667,23.12,100,100,1.22,IN,1693168466
35,udachny,66.4167,112.4,16.36,54,7,2.79,RU,1693168466
36,broken hill,-31.95,141.4333,10.1,76,5,3.7,AU,1693168289
37,ribeira grande,38.5167,-28.7,24.22,69,40,5.36,PT,1693168467
38,ushuaia,-54.8,-68.3,7.81,61,0,4.63,AR,1693168279
39,argo,37.6333,22.7333,28.77,60,22,1.25,GR,1693168467
40,sheridan,44.8333,-106.9173,31.21,27,0,2.57,US,1693168467
41,atafu village,-8.5421,-172.5159,27.94,75,66,5.97,TK,1693168467
42,fort bragg,35.139,-79.006,34.9,53,40,3.6,US,1693168467
43,hamilton,39.1834,-84.5333,29.25,58,0,0.89,US,1693168468
44,wailua homesteads,22.0669,-159.378,28.44,74,20,5.14,US,1693168468
45,contamana,-7.3333,-75.0167,36.27,30,87,1.71,PE,1693168468
46,riosucio,5.4216,-75.7032,25.56,71,86,1.37,CO,1693168468
47,cockburn town,21.4612,-71.1419,29.0,74,2,3.76,TC,1693168468
48,greymouth,-42.4667,171.2,5.34,70,1,3.11,NZ,1693168469
49,rifle,39.5347,-107.7831,29.33,32,0,3.09,US,1693168469
50,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,93,0,4.0,RU,1693168250
51,jamestown,42.097,-79.2353,23.62,60,40,5.14,US,1693168242
52,toliara,-23.35,43.6667,20.2,75,11,7.48,MG,1693168469
53,bethel,41.3712,-73.414,28.07,65,40,2.06,US,1693168470
54,tiksi,71.6872,128.8694,13.66,74,0,5.33,RU,1693168470
55,city of balikpapan,-1.242,116.8942,27.97,83,40,3.6,ID,1693168470
56,arraial do cabo,-22.9661,-42.0278,17.92,82,100,2.06,BR,1693168470
57,papatowai,-46.5619,169.4708,4.36,77,77,5.38,NZ,1693168470
58,richards bay,-28.783,32.0377,14.99,77,5,1.63,ZA,1693168471
59,loreto,22.2667,-101.9667,25.12,38,88,6.12,MX,1693168220
60,gadzhiyevo,69.2551,33.3362,9.67,79,100,2.14,RU,1693168471
61,talnakh,69.4865,88.3972,10.67,72,100,3.23,RU,1693168471
62,dudinka,69.4058,86.1778,10.9,67,100,4.49,RU,1693168471
63,hasaki,35.7333,140.8333,25.73,83,100,6.06,JP,1693168472
